quantidade_de_pedidos,periodo,categoria
32,10-2017,eletroportateis
235,10-2017,utilidades_domesticas
471,10-2017,esporte_lazer
281,10-2017,ferramentas_jardim
545,10-2017,cama_mesa_banho
150,10-2017,automotivo
379,10-2017,moveis_decoracao
290,10-2017,brinquedos
361,10-2017,beleza_saude
73,10-2017,nao catalogado
138,10-2017,bebes
76,10-2017,pet_shop
5,10-2017,agro_industria_e_comercio
9,10-2017,construcao_ferramentas_jardim
258,10-2017,cool_stuff
18,10-2017,fashion_calcados
314,10-2017,relogios_presentes
110,10-2017,fashion_bolsas_e_acessorios
27,10-2017,casa_conforto
63,10-2017,eletronicos
19,10-2017,construcao_ferramentas_construcao
109,10-2017,consoles_games
3,10-2017,artes
17,10-2017,alimentos_bebidas
27,10-2017,instrumentos_musicais
16,10-2017,moveis_cozinha_area_de_servico_jantar_e_jardim
56,10-2017,malas_acessorios
18,10-2017,casa_construcao
12,10-2017,construcao_ferramentas_seguranca
11,10-2017,market_place
5,10-2017,industria_comercio_e_negocios
10,10-2017,eletrodomesticos_2
1,10-2017,la_cuisine
102,10-2017,moveis_escritorio
12,10-2017,bebidas
1,10-2017,cine_foto
32,10-2017,audio
12,10-2017,climatizacao
4,10-2017,moveis_quarto
2,10-2017,construcao_ferramentas_iluminacao
7,10-2017,telefonia_fixa
11,10-2017,fashion_roupa_masculina
19,10-2017,moveis_sala
27,10-2017,pcs
6,10-2017,livros_tecnicos
1,10-2017,cds_dvds_musicais
11,10-2017,livros_interesse_geral
12,10-2017,artigos_de_natal
3,10-2017,fashion_underwear_e_moda_praia
1,10-2017,tablets_impressao_imagem
5,10-2017,construcao_ferramentas_ferramentas
8,10-2017,eletrodomesticos
1,10-2017,fashion_roupa_infanto_juvenil
1,10-2017,musica
1,10-2017,fashion_esporte
17,10-2017,alimentos
5,10-2017,dvds_blu_ray
2,10-2017,artigos_de_festas
5,10-2017,casa_conforto_2
584,11-2017,beleza_saude
383,11-2017,telefonia
311,11-2017,perfumaria
122,11-2017,nao catalogado
166,11-2017,papelaria
31,11-2017,eletroportateis
45,11-2017,casa_conforto
184,11-2017,eletronicos
33,11-2017,alimentos_bebidas
134,11-2017,consoles_games
5,11-2017,telefonia_fixa
263,11-2017,automotivo
550,11-2017,ferramentas_jardim
532,11-2017,informatica_acessorios
423,11-2017,utilidades_domesticas
16,11-2017,market_place
612,11-2017,esporte_lazer
495,11-2017,brinquedos
302,11-2017,cool_stuff
203,11-2017,bebes
38,11-2017,livros_interesse_geral
99,11-2017,pet_shop
975,11-2017,cama_mesa_banho
783,11-2017,moveis_decoracao
20,11-2017,fashion_calcados
469,11-2017,relogios_presentes
72,11-2017,malas_acessorios
200,11-2017,fashion_bolsas_e_acessorios
19,11-2017,bebidas
38,11-2017,casa_construcao
17,11-2017,alimentos
47,11-2017,construcao_ferramentas_construcao
19,11-2017,climatizacao
33,11-2017,moveis_cozinha_area_de_servico_jantar_e_jardim
10,11-2017,fashion_underwear_e_moda_praia
6,11-2017,livros_tecnicos
36,11-2017,audio
49,11-2017,instrumentos_musicais
102,11-2017,moveis_escritorio
1,11-2017,la_cuisine
25,11-2017,eletrodomesticos
2,11-2017,moveis_colchao_e_estofado
3,11-2017,cds_dvds_musicais
4,11-2017,livros_importados
1,11-2017,cine_foto
10,11-2017,construcao_ferramentas_iluminacao
13,11-2017,eletrodomesticos_2
19,11-2017,agro_industria_e_comercio
39,11-2017,moveis_sala
24,11-2017,artigos_de_natal
7,11-2017,pcs
12,11-2017,fashion_roupa_masculina
5,11-2017,sinalizacao_e_seguranca
17,11-2017,construcao_ferramentas_jardim
3,11-2017,moveis_quarto
1,11-2017,artes
7,11-2017,industria_comercio_e_negocios
3,11-2017,dvds_blu_ray
15,11-2017,construcao_ferramentas_seguranca
6,11-2017,flores
6,11-2017,tablets_impressao_imagem
1,11-2017,fashion_esporte
4,11-2017,artigos_de_festas
3,11-2017,fashion_roupa_feminina
5,11-2017,construcao_ferramentas_ferramentas
3,11-2017,casa_conforto_2
1,12-2016,fashion_bolsas_e_acessorios
16,12-2017,artigos_de_natal
135,12-2017,fashion_bolsas_e_acessorios
42,12-2017,livros_interesse_geral
466,12-2017,beleza_saude
267,12-2017,telefonia
287,12-2017,informatica_acessorios
252,12-2017,cool_stuff
251,12-2017,papelaria
210,12-2017,eletronicos
268,12-2017,automotivo
493,12-2017,esporte_lazer
14,12-2017,market_place
445,12-2017,brinquedos
295,12-2017,utilidades_domesticas
146,12-2017,nao catalogado
241,12-2017,perfumaria
552,12-2017,cama_mesa_banho
93,12-2017,consoles_games
143,12-2017,bebes
22,12-2017,alimentos_bebidas
325,12-2017,ferramentas_jardim
42,12-2017,instrumentos_musicais
367,12-2017,relogios_presentes
74,12-2017,pet_shop
16,12-2017,eletrodomesticos
27,12-2017,construcao_ferramentas_construcao
17,12-2017,audio
2,12-2017,fraldas_higiene
34,12-2017,bebidas
39,12-2017,casa_construcao
390,12-2017,moveis_decoracao
29,12-2017,eletroportateis
14,12-2017,alimentos
3,12-2017,artes
2,12-2017,construcao_ferramentas_iluminacao
2,12-2017,sinalizacao_e_seguranca
47,12-2017,malas_acessorios
13,12-2017,fashion_underwear_e_moda_praia
7,12-2017,construcao_ferramentas_seguranca
20,12-2017,moveis_cozinha_area_de_servico_jantar_e_jardim
14,12-2017,casa_conforto
1,12-2017,moveis_quarto
8,12-2017,moveis_colchao_e_estofado
49,12-2017,moveis_escritorio
11,12-2017,agro_industria_e_comercio
20,12-2017,moveis_sala
4,12-2017,fashion_roupa_masculina
1,12-2017,cds_dvds_musicais
3,12-2017,livros_importados
9,12-2017,industria_comercio_e_negocios
8,12-2017,eletrodomesticos_2
5,12-2017,telefonia_fixa
23,12-2017,pcs
4,12-2017,livros_tecnicos
3,12-2017,climatizacao
6,12-2017,construcao_ferramentas_jardim
13,12-2017,fashion_calcados
2,12-2017,flores
1,12-2017,fashion_esporte
6,12-2017,construcao_ferramentas_ferramentas
2,12-2017,artigos_de_festas
6,12-2017,tablets_impressao_imagem
1,12-2017,dvds_blu_ray
